"Sno";"Division_SeatNo";"Member_ID";"Session";"State";"Constituency";"Total_Sittings";"Sittings_Attended";"Zone";"Percent_Attendance";"Exp_status";"If_Numeric_Percent_Attendance"
64;119;"MP64";13;"Kerala                                                      ";"Thrissur";32;30;"South";"93.8%";"Exp";1
65;120;"MP65";13;"Rajasthan                                                   ";"Chittorgarh";32;31;"West";"96.9%";"Exp";1
66;121;"MP66";13;"Haryana                                                     ";"Gurgaon";32;27;"North";"84.4%";"Exp";1
67;122;"MP67";13;"Maharashtra                                                 ";"Ramtek";32;23;"Central";"71.9%";"Exp";1
68;123;"MP68";13;"Maharashtra                                                 ";"Mumbai-North";32;23;"Central";"71.9%";"Unexp";1
69;124;"MP69";13;"Assam                                                       ";"Kaliabor";32;24;"NE";"75.0%";"Exp";1
70;125;"MP70";13;"Jharkhand                                                   ";"Ranchi";32;0;"East";"0.0%";"Unexp";0
71;126;"MP71";13;"Goa                                                         ";"South Goa";32;32;"Central";"100.0%";"Exp";0
72;127;"MP72";13;"Andhra Pradesh                                              ";"Ongole";32;16;"South";"50.0%";"Exp";1
73;128;"MP73";13;"Tamil Nadu                                                  ";"Dindigul";32;29;"South";"90.6%";"Unexp";1
74;129;"MP74";13;"Haryana                                                     ";"Karnal";32;18;"North";"56.3%";"Exp";1
75;130;"MP75";13;"Uttar Pradesh                                               ";"Sultanpur";32;29;"North";"90.6%";"Exp";1
76;131;"MP76";13;"Uttar Pradesh                                               ";"Mathura";32;21;"North";"65.6%";"Unexp";1
77;132;"MP77";13;"Maharashtra                                                 ";"Nanded";32;27;"Central";"84.4%";"Exp";1
78;133;"MP78";13;"Haryana                                                     ";"Rohtak";32;28;"North";"87.5%";"Exp";1
79;134;"MP79";13;"Orissa                                                      ";"Kalahandi";32;32;"East";"100.0%";"Unexp";0
80;135;"MP80";13;"Rajasthan                                                   ";"Banswara";32;25;"West";"78.1%";"Exp";1
81;136;"MP81";13;"Meghalaya                                                   ";"Tura";32;0;"NE";"0.0%";"Exp";0
82;137;"MP82";13;"Uttar Pradesh                                               ";"Pratapgarh";32;29;"North";"90.6%";"Unexp";1
83;138;"MP83";13;"Maharashtra                                                 ";"Mumbai-North-Central";32;17;"Central";"53.1%";"Exp";1
84;139;"MP84";13;"Punjab                                                      ";"Hoshiarpur";32;25;"North";"78.1%";"Unexp";1
85;140;"MP85";13;"Punjab                                                      ";"Fategarh Sabhib";32;32;"North";"100.0%";"Unexp";0
86;141;"MP86";13;"Madhya Pradesh                                              ";"Dhar";32;25;"Central";"78.1%";"Unexp";1
87;142;"MP87";13;"Uttar Pradesh                                               ";"Bijnor";32;32;"North";"100.0%";"Exp";0
